Instrucción Recibido/Enviado Tamaño Fuente/Destino Ciclo
READ_MEM 0 16 P0 3
WRITE_MEM 0 0 P0 4
BROADCAST_INVALIDATE 0 0 P0 5
INV_ACK 1 0 All 5
INV_ACK 1 0 All 6
INV_ACK 1 0 P0 7
READ_MEM 0 16 P0 11
WRITE_MEM 0 0 P0 12
WRITE_MEM 0 0 P0 13
BROADCAST_INVALIDATE 0 0 P0 14
INV_ACK 1 0 All 14
INV_ACK 1 0 All 15
INV_ACK 1 0 P0 16
BROADCAST_INVALIDATE 0 0 P0 17
INV_ACK 1 0 All 17
INV_ACK 1 0 All 18
INV_ACK 1 0 P0 19
READ_MEM 0 16 P0 20
READ_MEM 0 16 P0 21
WRITE_MEM 0 0 P1 22
BROADCAST_INVALIDATE 0 0 P1 23
INV_ACK 1 0 All 23
INV_ACK 1 0 All 24
INV_ACK 1 0 P1 25
BROADCAST_INVALIDATE 0 0 P1 26
INV_ACK 1 0 All 26
INV_ACK 1 0 All 27
INV_ACK 1 0 P1 28
WRITE_MEM 0 0 P1 29
WRITE_MEM 0 0 P1 30
READ_MEM 0 16 P1 31
READ_MEM 0 16 P1 32
BROADCAST_INVALIDATE 0 0 P1 33
INV_ACK 1 0 All 33
INV_ACK 1 0 All 34
INV_ACK 1 0 P1 35
READ_MEM 0 16 P1 36
READ_MEM 0 16 P1 37
WRITE_MEM 0 0 P2 38
BROADCAST_INVALIDATE 0 0 P2 39
INV_ACK 1 0 All 39
INV_ACK 1 0 All 40
INV_ACK 1 0 P2 41
READ_MEM 0 16 P2 42
READ_MEM 0 16 P2 43
BROADCAST_INVALIDATE 0 0 P2 44
INV_ACK 1 0 All 44
INV_ACK 1 0 All 45
INV_ACK 1 0 P2 46
READ_MEM 0 16 P2 47
WRITE_MEM 0 0 P2 48
READ_MEM 0 16 P2 49
BROADCAST_INVALIDATE 0 0 P2 50
INV_ACK 1 0 All 50
INV_ACK 1 0 All 51
INV_ACK 1 0 P2 52
WRITE_MEM 0 0 P2 53
READ_MEM 0 16 P3 54
READ_MEM 0 16 P3 55
WRITE_MEM 0 0 P3 56
BROADCAST_INVALIDATE 0 0 P3 57
INV_ACK 1 0 All 57
INV_ACK 1 0 All 58
INV_ACK 1 0 P3 59
BROADCAST_INVALIDATE 0 0 P3 60
INV_ACK 1 0 All 60
INV_ACK 1 0 All 61
INV_ACK 1 0 P3 62
READ_MEM 0 16 P3 63
READ_MEM 0 16 P3 64
WRITE_MEM 0 0 P3 65
BROADCAST_INVALIDATE 0 0 P3 66
INV_ACK 1 0 All 66
INV_ACK 1 0 All 67
INV_ACK 1 0 P3 68
WRITE_MEM 0 0 P3 69
WRITE_MEM 0 0 P4 70
BROADCAST_INVALIDATE 0 0 P4 71
INV_ACK 1 0 All 71
INV_ACK 1 0 All 72
INV_ACK 1 0 P4 73
READ_MEM 0 16 P4 74
WRITE_MEM 0 0 P4 75
READ_MEM 0 16 P4 76
READ_MEM 0 16 P4 77
WRITE_MEM 0 0 P4 78
BROADCAST_INVALIDATE 0 0 P4 79
INV_ACK 1 0 All 79
INV_ACK 1 0 All 80
INV_ACK 1 0 P4 81
BROADCAST_INVALIDATE 0 0 P4 82
INV_ACK 1 0 All 82
INV_ACK 1 0 All 83
INV_ACK 1 0 P4 84
READ_MEM 0 16 P4 85
READ_MEM 0 16 P5 86
WRITE_MEM 0 0 P5 87
BROADCAST_INVALIDATE 0 0 P5 88
INV_ACK 1 0 All 88
INV_ACK 1 0 All 89
INV_ACK 1 0 P5 90
WRITE_MEM 0 0 P5 91
BROADCAST_INVALIDATE 0 0 P5 92
INV_ACK 1 0 All 92
INV_ACK 1 0 All 93
INV_ACK 1 0 P5 94
READ_MEM 0 16 P5 95
BROADCAST_INVALIDATE 0 0 P5 96
INV_ACK 1 0 All 96
INV_ACK 1 0 All 97
INV_ACK 1 0 P5 98
READ_MEM 0 16 P5 99
WRITE_MEM 0 0 P5 100
READ_MEM 0 16 P5 101
READ_MEM 0 16 P6 102
BROADCAST_INVALIDATE 0 0 P6 103
INV_ACK 1 0 All 103
INV_ACK 1 0 All 104
INV_ACK 1 0 P6 105
READ_MEM 0 16 P6 106
WRITE_MEM 0 0 P6 107
READ_MEM 0 16 P6 108
BROADCAST_INVALIDATE 0 0 P6 109
INV_ACK 1 0 All 109
INV_ACK 1 0 All 110
INV_ACK 1 0 P6 111
BROADCAST_INVALIDATE 0 0 P6 112
INV_ACK 1 0 All 112
INV_ACK 1 0 All 113
INV_ACK 1 0 P6 114
WRITE_MEM 0 0 P6 115
WRITE_MEM 0 0 P6 116
READ_MEM 0 16 P6 117
READ_MEM 0 16 P7 118
BROADCAST_INVALIDATE 0 0 P7 119
INV_ACK 1 0 All 119
INV_ACK 1 0 All 120
INV_ACK 1 0 P7 121
WRITE_MEM 0 0 P7 122
READ_MEM 0 16 P7 123
READ_MEM 0 16 P7 124
BROADCAST_INVALIDATE 0 0 P7 125
INV_ACK 1 0 All 125
INV_ACK 1 0 All 126
INV_ACK 1 0 P7 127
WRITE_MEM 0 0 P7 128
READ_MEM 0 16 P7 129
WRITE_MEM 0 0 P7 130
BROADCAST_INVALIDATE 0 0 P7 131
INV_ACK 1 0 All 131
INV_ACK 1 0 All 132
INV_ACK 1 0 P7 133
